skills,2025-06-21
agile,10
airflow,10
aws,32
azure,48
bash,2
c++,2
data visualization,6
deep learning,1
etl,26
excel,8
gcp,11
java,3
jira,2
nlp,13
power bi,23
python,94
r,8
scikit-learn,3
spark,6
sql,57
tableau,5
tensorflow,7
